id,title,url,province,ISO8601,organization,people
2805738,บึงกาฬ ระดับน้ำโขงสูงสุดรอบปี เศษสวะ ขอนไม้เพียบ   กระทบเดินเรือ,https://www.thairath.co.th/news/local/northeast/2805738,บึงกาฬ | เลย | หนองคาย,2024-08-05,,นายพงศ์เทพ จันทรชิต
2805784,ท่วมรีสอร์ต (คลิป),https://www.thairath.co.th/news/local/central/2805784,,2024-08-06,,
2805786,ผอ.ขุนด่านโต้ปล่อยน้ำท่วม รีสอร์ตจมยับ   โวยใส่ทางการไม่ได้เตือนภัย (คลิป),https://www.thairath.co.th/news/local/2805786,,2024-08-06,.,ธรรมนัส
2805786,ผอ.ขุนด่านโต้ปล่อยน้ำท่วม รีสอร์ตจมยับ   โวยใส่ทางการไม่ได้เตือนภัย (คลิป),https://www.thairath.co.th/news/local/2805786,,2024-08-06,เขื่อนฯ,ธรรมนัส
2805786,ผอ.ขุนด่านโต้ปล่อยน้ำท่วม รีสอร์ตจมยับ   โวยใส่ทางการไม่ได้เตือนภัย (คลิป),https://www.thairath.co.th/news/local/2805786,,2024-08-06,ที่กู้ภัยมูลนิธิร่วมกตัญญูเมือง,ธรรมนัส
2806169,เขื่อนลำปาว กาฬสินธุ์ ประกาศ ฉ.1 แจ้งระบายน้ำออก   รองรับลานีญา,https://www.thairath.co.th/news/local/northeast/2806169,,2024-08-07,กรมอุตุนิยมวิทยา,นายสํารวย อินพิทักษ์
2806169,เขื่อนลำปาว กาฬสินธุ์ ประกาศ ฉ.1 แจ้งระบายน้ำออก   รองรับลานีญา,https://www.thairath.co.th/news/local/northeast/2806169,,2024-08-07,โครงการส่งน้ําและบํารุงรักษาลําปาวเขื่อนลําปาว,นายสํารวย อินพิทักษ์
2806169,เขื่อนลำปาว กาฬสินธุ์ ประกาศ ฉ.1 แจ้งระบายน้ำออก   รองรับลานีญา,https://www.thairath.co.th/news/local/northeast/2806169,,2024-08-07,โครงการส่งน้ําและบํารุงรักษาลําปาว,นายสํารวย อินพิทักษ์
2806169,เขื่อนลำปาว กาฬสินธุ์ ประกาศ ฉ.1 แจ้งระบายน้ำออก   รองรับลานีญา,https://www.thairath.co.th/news/local/northeast/2806169,,2024-08-07,กรมอุตุนิยมวิทยา,นายสํารวย อินพิทักษ์
2807550,อนุมัติงบกลาง 867 ล้าน ซ่อมอาคารชลประทาน   เสียหายจากอุทกภัย 227 รายการ,https://www.thairath.co.th/news/politic/2807550,,2024-08-13,ครม.,นางสาวเกณิกา อุ่นจิตร์
2807550,อนุมัติงบกลาง 867 ล้าน ซ่อมอาคารชลประทาน   เสียหายจากอุทกภัย 227 รายการ,https://www.thairath.co.th/news/politic/2807550,,2024-08-13,สํานักนายกรัฐมนตรีกระทรวงเกษตรและสหกรณ์กษ.กรมชลประทาน,นางสาวเกณิกา อุ่นจิตร์
2807550,อนุมัติงบกลาง 867 ล้าน ซ่อมอาคารชลประทาน   เสียหายจากอุทกภัย 227 รายการ,https://www.thairath.co.th/news/politic/2807550,,2024-08-13,กระทรวงเกษตรและสหกรณ์สํานักนายกรัฐมนตรี,นางสาวเกณิกา อุ่นจิตร์
2807550,อนุมัติงบกลาง 867 ล้าน ซ่อมอาคารชลประทาน   เสียหายจากอุทกภัย 227 รายการ,https://www.thairath.co.th/news/politic/2807550,,2024-08-13,คณะกรรมการก.ช.ภ.จ.กรมชลประทานคณะกรรมการก..ภ.จ.,นางสาวเกณิกา อุ่นจิตร์
2809599,บึงกาฬ น้ำโขงขึ้นเกิน 11 ม.อีกครั้ง   ชลประทานสั่งปิดประตูน้ำห้วยคาด,https://www.thairath.co.th/news/local/northeast/2809599,,2024-08-21,ชลประทาน,
2809599,บึงกาฬ น้ำโขงขึ้นเกิน 11 ม.อีกครั้ง   ชลประทานสั่งปิดประตูน้ำห้วยคาด,https://www.thairath.co.th/news/local/northeast/2809599,,2024-08-21,โครงการชลประทานบึงกาฬ,
2809599,บึงกาฬ น้ำโขงขึ้นเกิน 11 ม.อีกครั้ง   ชลประทานสั่งปิดประตูน้ำห้วยคาด,https://www.thairath.co.th/news/local/northeast/2809599,,2024-08-21,สถานีเทศบาล,
2809599,บึงกาฬ น้ำโขงขึ้นเกิน 11 ม.อีกครั้ง   ชลประทานสั่งปิดประตูน้ำห้วยคาด,https://www.thairath.co.th/news/local/northeast/2809599,,2024-08-21,สํานักงานทรัพยากรน้ําแห่งชาติสทนช.,
2809678,น่านอ่วม ท่วมแล้ว 8 อำเภอ   เทศบาลแจ้งประชาชนเก็บของเตรียมพร้อม,https://www.thairath.co.th/news/local/north/2809678,น่าน,2024-08-22,,นายชัยนรงค์ วงศ์ใหญ่ | นายสุ | จินตเวชศาสตร์ | นายวร วิทย์ อิน
2809698,น้ำท่วม อ.เทิง หนักสุดรอบ 30 ปี นร.กว่า 60   คนต้องนอนค้างโรงเรียน (คลิป),https://www.thairath.co.th/news/local/north/2809698,เชียงราย | พะเยา,2024-08-22,,นายวร ายุทธ ค่อมบุญ | นาย กฤตชัย สุวรรณ นายวร ายุทธ ค่อมบุญ
2809718,พะเยาท่วมแล้ว 5 อำเภอ ช่วยระทึก   ลุงติดกลางกระแสน้ำเชี่ยว (คลิป),https://www.thairath.co.th/news/local/north/2809718,พะเยา,2024-08-22,องค์กร,
2809748,น้ำทะลักเข้าเทศบาลเมืองน่าน   พระเณรพายเรือช่วยชาวบ้านขนของ,https://www.thairath.co.th/news/local/north/2809748,น่าน,2024-08-22,เทศบาล,
2809748,น้ำทะลักเข้าเทศบาลเมืองน่าน   พระเณรพายเรือช่วยชาวบ้านขนของ,https://www.thairath.co.th/news/local/north/2809748,น่าน,2024-08-22,แขวงการทางน่าน,
2809757,ภาคเหนือฝนฉ่ำ ถนนชายแดนแม่ฮ่องสอน ดินสไลด์แล้ว 6   ครั้ง,https://www.thairath.co.th/news/local/north/2809757,แม่ฮ่องสอน,2024-08-22,,นายสังคม คัดเชียงแสน
2809768,"ปภ. อัปเดตสถานการณ์ ""อุทกภัย"" ในพื้นที่ 7 จังหวัด   พร้อมเร่งช่วยเหลือประชาชน",https://www.thairath.co.th/news/local/2809768,,2024-08-22,ปภ.กรมป้องกันและบรรเทาสาธารณภัย,นายไชยวัฒน์ จุนถิระพงศ์
2809768,"ปภ. อัปเดตสถานการณ์ ""อุทกภัย"" ในพื้นที่ 7 จังหวัด   พร้อมเร่งช่วยเหลือประชาชน",https://www.thairath.co.th/news/local/2809768,,2024-08-22,ป้องกันและบรรเทาสาธารณภัยปภ.,นายไชยวัฒน์ จุนถิระพงศ์
2809769,น้ำป่าดอยผาหม่น ทะลักท่วม อ.เวียงแก่น   ตร.น้ำช่วยอพยพเด็กและผู้หญิง,https://www.thairath.co.th/news/local/north/2809769,เชียงราย,2024-08-22,รน.บก.รน.,พ . ต . อ .พรศักดิ์ เลารุจิราลัย | พ . ต . อ .พรศักดิ์ | นายสุพจน์ ลังกาวีระนันท์ | เชื่อม | ทอง
2809769,น้ำป่าดอยผาหม่น ทะลักท่วม อ.เวียงแก่น   ตร.น้ำช่วยอพยพเด็กและผู้หญิง,https://www.thairath.co.th/news/local/north/2809769,เชียงราย,2024-08-22,สถานีตํารวจ,พ . ต . อ .พรศักดิ์ เลารุจิราลัย | พ . ต . อ .พรศักดิ์ | นายสุพจน์ ลังกาวีระนันท์ | เชื่อม | ทอง
2809769,น้ำป่าดอยผาหม่น ทะลักท่วม อ.เวียงแก่น   ตร.น้ำช่วยอพยพเด็กและผู้หญิง,https://www.thairath.co.th/news/local/north/2809769,เชียงราย,2024-08-22,สถานีตํารวจ,พ . ต . อ .พรศักดิ์ เลารุจิราลัย | พ . ต . อ .พรศักดิ์ | นายสุพจน์ ลังกาวีระนันท์ | เชื่อม | ทอง
2809782,"""เมืองน่าน"" ย่านเศรษฐกิจ-ที่ลุ่มต่ำจ่อจม   จนท.เร่งอพยพคนแก่-ผู้ป่วยหนีน้ำ",https://www.thairath.co.th/news/local/north/2809782,เชียงราย | น่าน | พะเยา,2024-08-22,ตชด.,พล . ต . ท .ยงเกียรติ มนปราณีต
2809782,"""เมืองน่าน"" ย่านเศรษฐกิจ-ที่ลุ่มต่ำจ่อจม   จนท.เร่งอพยพคนแก่-ผู้ป่วยหนีน้ำ",https://www.thairath.co.th/news/local/north/2809782,เชียงราย | น่าน | พะเยา,2024-08-22,.ตชด.กองกํากับการตํารวจตระเวนชายแดนที่ 32กก.ตชด.32ตชด.,พล . ต . ท .ยงเกียรติ มนปราณีต
2809782,"""เมืองน่าน"" ย่านเศรษฐกิจ-ที่ลุ่มต่ำจ่อจม   จนท.เร่งอพยพคนแก่-ผู้ป่วยหนีน้ำ",https://www.thairath.co.th/news/local/north/2809782,เชียงราย | น่าน | พะเยา,2024-08-22,กองร้อยตํารวจตระเวนชายแดนที่324-327,พล . ต . ท .ยงเกียรติ มนปราณีต
2809782,"""เมืองน่าน"" ย่านเศรษฐกิจ-ที่ลุ่มต่ำจ่อจม   จนท.เร่งอพยพคนแก่-ผู้ป่วยหนีน้ำ",https://www.thairath.co.th/news/local/north/2809782,เชียงราย | น่าน | พะเยา,2024-08-22,ตชด.,พล . ต . ท .ยงเกียรติ มนปราณีต
2809792,แพร่ เตรียมรับน้ำเหนือ เร่งหาวัว ควาย 16 ตัว   ลอยคอในแม่น้ำยม (คลิป),https://www.thairath.co.th/news/local/north/2809792,แพร่,2024-08-22,ไข่อบต.วังหลวง,นายรัฐกานต์ จันทนู
2809792,แพร่ เตรียมรับน้ำเหนือ เร่งหาวัว ควาย 16 ตัว   ลอยคอในแม่น้ำยม (คลิป),https://www.thairath.co.th/news/local/north/2809792,แพร่,2024-08-22,อบต.เวียงทอง,นายรัฐกานต์ จันทนู
2809809,"""พิษณุโลก"" เตรียมรับมือน้ำเหนือผ่าเมือง 2 แคว จับตา   ""น้ำยม"" เสี่ยงทะลัก",https://www.thairath.co.th/news/local/north/2809809,น่าน | พิจิตร | พิษณุโลก | แพร่ | อุตรดิตถ์,2024-08-22,,นายวรพจน์ เพชรนรชาติ
2809809,"""พิษณุโลก"" เตรียมรับมือน้ำเหนือผ่าเมือง 2 แคว จับตา   ""น้ำยม"" เสี่ยงทะลัก",https://www.thairath.co.th/news/local/north/2809809,น่าน | พิจิตร | พิษณุโลก | แพร่ | อุตรดิตถ์,2024-08-22,สํานักชลประทานที่3,นายวรพจน์ เพชรนรชาติ
2809809,"""พิษณุโลก"" เตรียมรับมือน้ำเหนือผ่าเมือง 2 แคว จับตา   ""น้ำยม"" เสี่ยงทะลัก",https://www.thairath.co.th/news/local/north/2809809,น่าน | พิจิตร | พิษณุโลก | แพร่ | อุตรดิตถ์,2024-08-22,สํานักงานชลประทานที่3สํานักงานชลประทานที่3ชลประทาน,นายวรพจน์ เพชรนรชาติ
2809837,"""พัชรวาท"" กำชับทุกหน่วยเร่งช่วยประชาชน   ประสบภัยน้ำท่วม ""จ.แพร่-น่าน""",https://www.thairath.co.th/news/politic/2809837,น่าน | แพร่,2024-08-22,กรมอุทยานฯกรมป่าไม้,""" พัชร วาท | "" พัชร วาท | พล . ต . อ .พัชรวาท วงษ์สุวรรณ | นาย อรรถพล เจริญชันษา"
